timestamp,x,y,left_button_holding,right_button_holding
1693941887.251686,0,0,False,False
1693941890.232602,0,0,False,False
1693941890.232597,0,0,False,False
1693941890.233358,0,0,False,False
1693941890.233367,0,0,False,False
1693941894.190122,0,0,False,False
1693941894.190118,0,0,False,False
1693941894.58985,0,0,False,False
1693941894.589851,0,0,False,False
1693941896.865168,3,0,False,False
1693941896.865164,6,0,False,False
1693941896.872972,13,0,False,False
1693941896.872969,20,0,False,False
1693941896.881166,31,0,False,False
1693941896.881162,42,0,False,False
1693941896.888995,53,0,False,False
1693941896.888992,64,0,False,False
1693941896.897223,72,0,False,False
1693941896.897219,80,0,False,False
1693941896.904956,81,0,False,False
1693941896.904958,82,0,False,False
1693941896.953181,83,0,False,False
1693941896.953177,84,0,False,False
1693941896.969165,86,-1,False,False
1693941896.969169,88,-2,False,False
1693941896.977206,90,-4,False,False
1693941896.977202,92,-6,False,False
1693941896.98498,100,-13,False,False
1693941896.984978,108,-20,False,False
1693941896.993182,119,-28,False,False
1693941896.993177,130,-36,False,False
1693941897.001001,141,-46,False,False
1693941897.001005,152,-56,False,False
1693941897.009162,166,-65,False,False
1693941897.009159,180,-74,False,False
1693941897.016964,196,-85,False,False
1693941897.016967,212,-96,False,False
1693941897.024948,229,-107,False,False
1693941897.02495,246,-118,False,False
1693941897.033053,264,-125,False,False
1693941897.033057,282,-132,False,False
1693941897.040918,302,-144,False,False
1693941897.040916,322,-156,False,False
1693941897.048973,344,-169,False,False
1693941897.048976,366,-182,False,False
1693941897.056984,388,-193,False,False
1693941897.056986,410,-204,False,False
1693941897.06497,428,-215,False,False
1693941897.064974,446,-226,False,False
1693941897.072974,463,-240,False,False
1693941897.072975,480,-254,False,False
1693941897.081172,496,-265,False,False
1693941897.081177,512,-276,False,False
1693941897.088977,525,-288,False,False
1693941897.088975,538,-300,False,False
1693941897.097004,546,-308,False,False
1693941897.097007,554,-316,False,False
1693941897.104952,563,-325,False,False
1693941897.104949,572,-334,False,False
1693941897.113178,578,-343,False,False
1693941897.113174,584,-352,False,False
1693941897.120968,590,-361,False,False
1693941897.120971,596,-370,False,False
1693941897.129167,604,-379,False,False
1693941897.129163,612,-388,False,False
1693941897.136979,619,-395,False,False
1693941897.136976,626,-402,False,False
1693941897.144917,634,-410,False,False
1693941897.144913,642,-418,False,False
1693941897.152987,651,-426,False,False
1693941897.152984,660,-434,False,False
1693941897.161202,667,-440,False,False
1693941897.161198,674,-446,False,False
1693941897.169229,686,-454,False,False
1693941897.169233,698,-462,False,False
1693941897.177172,713,-472,False,False
1693941897.177168,728,-482,False,False
1693941897.184954,743,-492,False,False
1693941897.184951,758,-502,False,False
1693941897.193176,773,-511,False,False
1693941897.193173,788,-520,False,False
1693941897.201173,799,-525,False,False
1693941897.201169,810,-530,False,False
1693941897.209211,817,-532,False,False
1693941897.209207,824,-534,False,False
1693941897.217011,825,-535,False,False
1693941897.217007,826,-536,False,False
1693941897.241176,823,-536,False,False
1693941897.241172,820,-536,False,False
1693941897.248989,814,-536,False,False
1693941897.248987,808,-536,False,False
1693941897.257172,798,-532,False,False
1693941897.257168,788,-528,False,False
1693941897.265003,778,-524,False,False
1693941897.265,768,-520,False,False
1693941897.273163,763,-518,False,False
1693941897.27316,758,-516,False,False
1693941897.280969,754,-513,False,False
1693941897.280967,750,-510,False,False
1693941897.361176,743,-508,False,False
1693941897.361173,736,-506,False,False
1693941897.368997,719,-500,False,False
1693941897.368993,702,-494,False,False
1693941897.377218,686,-487,False,False
1693941897.377214,670,-480,False,False
1693941897.385004,658,-474,False,False
1693941897.385,646,-468,False,False
1693941897.393042,631,-463,False,False
1693941897.393039,616,-458,False,False
1693941897.401174,608,-453,False,False
1693941897.40117,600,-448,False,False
1693941897.408976,594,-447,False,False
1693941897.408974,588,-446,False,False
1693941897.417183,584,-445,False,False
1693941897.41718,580,-444,False,False
1693941897.425181,578,-442,False,False
1693941897.425178,576,-440,False,False
1693941897.433227,575,-439,False,False
1693941897.433223,574,-438,False,False
1693941897.441182,573,-438,False,False
1693941897.441178,572,-438,False,False
1693941897.457179,571,-438,False,False
1693941897.457176,570,-438,False,False
1693941897.464919,570,-441,False,False
1693941897.464916,570,-444,False,False
1693941897.472981,576,-445,False,False
1693941897.472979,582,-446,False,False
1693941897.481174,593,-448,False,False
1693941897.481171,604,-450,False,False
1693941897.488993,619,-452,False,False
1693941897.488991,634,-454,False,False
1693941897.497266,648,-459,False,False
1693941897.497262,662,-464,False,False
1693941897.504987,680,-472,False,False
1693941897.504984,698,-480,False,False
1693941897.51318,711,-483,False,False
1693941897.513177,724,-486,False,False
1693941897.521057,739,-491,False,False
1693941897.52106,754,-496,False,False
1693941897.529181,770,-503,False,False
1693941897.529185,786,-510,False,False
1693941897.537006,803,-517,False,False
1693941897.537003,820,-524,False,False
1693941897.545007,838,-530,False,False
1693941897.545004,856,-536,False,False
1693941897.553182,873,-543,False,False
1693941897.553186,890,-550,False,False
1693941897.561183,907,-557,False,False
1693941897.561187,924,-564,False,False
1693941897.569208,942,-572,False,False
1693941897.569205,960,-580,False,False
1693941897.577181,978,-587,False,False
